"","id","observed_on_string","observed_on","time_observed_at","user_login","quality_grade","url","image_url","description","latitude","longitude","place_county_name","place_state_name","scientific_name","common_name","iconic_taxon_name","taxon_id","kingdom","phylum","class","order","family","genus","species","date","time","month"
"11",68683337,"Wed Jan 27 2021 09:19:08 GMT-0500 (EST)","1/27/21","14:19:08","temmy","research","https://www.inaturalist.org/observations/68683337","https://static.inaturalist.org/photos/111278550/medium.jpg","",39.64146669,-75.52629171,"Salem","New Jersey","Lamium purpureum","red deadnettle","Plantae",55851,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium","Lamium purpureum",2021-01-27,14:19:08,1
"12",68693367,"2021/01/25 10:16 AM EST","1/25/21","15:16:00","savannahb21","research","https://www.inaturalist.org/observations/68693367","https://inaturalist-open-data.s3.amazonaws.com/photos/111296707/medium.jpeg","",39.5527617,-74.42609166,"Atlantic","New Jersey","Sporobolus alterniflorus","Saltmarsh Cordgrass","Plantae",772903,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",2021-01-25,15:16:00,1
"13",68694295,"Wed Jan 27 2021 14:21:20 GMT-0500 (EST)","1/27/21","19:21:20","melissalaurino","research","https://www.inaturalist.org/observations/68694295","https://inaturalist-open-data.s3.amazonaws.com/photos/111298322/medium.jpg","Observed growing on the beach.",39.00231945,-74.95437,"Cape May","New Jersey","Hedera helix","common ivy","Plantae",55882,"Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Hedera","Hedera helix",2021-01-27,19:21:20,1
"14",68694386,"Wed Jan 27 2021 14:24:06 GMT-0500 (EST)","1/27/21","19:24:06","melissalaurino","research","https://www.inaturalist.org/observations/68694386","https://inaturalist-open-data.s3.amazonaws.com/photos/111298495/medium.jpg","Found on a dead Atlantic Horseshoe Crab",39.002,-74.95527833,"Cape May","New Jersey","Crepidula fornicata","Common Atlantic Slippersnail","Mollusca",125343,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata",2021-01-27,19:24:06,1
"15",68694841,"2021/01/27 2:57 PM EST","1/27/21","19:57:00","aminamajid","research","https://www.inaturalist.org/observations/68694841","https://inaturalist-open-data.s3.amazonaws.com/photos/111299279/medium.jpg","",39.35250189,-74.47787489,"Atlantic","New Jersey","Larus argentatus","Herring Gull","Aves",204533,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus argentatus",2021-01-27,19:57:00,1
"16",68699786,"Wed Jan 27 2021 17:18:56 GMT-0500 (EST)","1/27/21","22:18:56","danweiss15","research","https://www.inaturalist.org/observations/68699786","https://inaturalist-open-data.s3.amazonaws.com/photos/111308491/medium.jpg","",39.537105,-74.26309167,"Ocean","New Jersey","Geukensia demissa","Atlantic Ribbed Mussel","Mollusca",81608,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Geukensia","Geukensia demissa",2021-01-27,22:18:56,1
"17",68699840,"Wed Jan 27 2021 17:19:49 GMT-0500 (EST)","1/27/21","22:19:49","nathannhan","research","https://www.inaturalist.org/observations/68699840","https://inaturalist-open-data.s3.amazonaws.com/photos/111308595/medium.jpg","",39.46258478,-74.50023968,"Atlantic","New Jersey","Ajuga reptans","carpet bugle","Plantae",56099,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Ajuga","Ajuga reptans",2021-01-27,22:19:49,1
"18",68722426,"Wed Jan 27 2021 16:58:00 GMT-0500 (EST)","1/27/21","21:58:00","elysevick1","research","https://www.inaturalist.org/observations/68722426","https://inaturalist-open-data.s3.amazonaws.com/photos/111350071/medium.jpg","",39.50389076,-74.63604128,"Atlantic","New Jersey","Odocoileus virginianus","White-tailed Deer","Mammalia",42223,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus",2021-01-27,21:58:00,1
"19",68728305,"Thu Jan 28 2021 11:28:53 GMT-0500 (EST)","1/28/21","16:28:53","tombaxter","research","https://www.inaturalist.org/observations/68728305","https://inaturalist-open-data.s3.amazonaws.com/photos/111361018/medium.jpg","",39.0241445,-74.92308833,"Cape May","New Jersey","Trametes lactinea","Latte Bracket","Fungi",328305,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","Trametes lactinea",2021-01-28,16:28:53,1
"20",68733699,"Thu Jan 28 2021 15:30:26 GMT-0500 (EST)","1/28/21","20:30:26","temmy","research","https://www.inaturalist.org/observations/68733699","https://static.inaturalist.org/photos/111371344/medium.jpg","",39.11240851,-74.80058335,"Cape May","New Jersey","Cathartes aura","Turkey Vulture","Aves",4756,"Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",2021-01-28,20:30:26,1
"21",68742457,"Thu Jan 28 2021 14:54:52 GMT-0500 (EST)","1/28/21","19:54:52","lucas_smith","research","https://www.inaturalist.org/observations/68742457","https://inaturalist-open-data.s3.amazonaws.com/photos/111387065/medium.jpg","",39.4983768,-74.48457262,"Atlantic","New Jersey","Poecile carolinensis","Carolina Chickadee","Aves",144814,"Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile carolinensis",2021-01-28,19:54:52,1
"22",68742557,"Thu Jan 28 2021 14:50:22 GMT-0500 (EST)","1/28/21","19:50:22","lucas_smith","research","https://www.inaturalist.org/observations/68742557","https://inaturalist-open-data.s3.amazonaws.com/photos/111387225/medium.jpg","",39.4981502,-74.48463343,"Atlantic","New Jersey","Baeolophus bicolor","Tufted Titmouse","Aves",13632,"Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus bicolor",2021-01-28,19:50:22,1
"23",68761004,"2021/01/25 9:37 AM EST","1/25/21","14:37:00","juliarobinson","research","https://www.inaturalist.org/observations/68761004","https://inaturalist-open-data.s3.amazonaws.com/photos/111420911/medium.jpg","",40.9445428,-74.0754189,"Bergen","New Jersey","Odocoileus virginianus","White-tailed Deer","Mammalia",42223,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus",2021-01-25,14:37:00,1
"24",68761056,"Thu Jan 28 2021 13:02:40 GMT-0500 (EST)","1/28/21","18:02:40","bodhi_fox","research","https://www.inaturalist.org/observations/68761056","https://inaturalist-open-data.s3.amazonaws.com/photos/111421038/medium.jpg","",39.49800221,-74.52996333,"Atlantic","New Jersey","Gaultheria procumbens","Eastern Teaberry","Plantae",62376,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Gaultheria","Gaultheria procumbens",2021-01-28,18:02:40,1
"25",68762997,"Fri Jan 29 2021 10:05:50 GMT-0500 (EST)","1/29/21","15:05:50","ployratana","research","https://www.inaturalist.org/observations/68762997","https://inaturalist-open-data.s3.amazonaws.com/photos/111424759/medium.jpg","",39.49691333,-74.52870333,"Atlantic","New Jersey","Leucobryum glaucum","Pincushion Moss","Plantae",122658,"Plantae","Bryophyta","Bryopsida","Dicranales","Leucobryaceae","Leucobryum","Leucobryum glaucum",2021-01-29,15:05:50,1
"26",68763051,"Fri Jan 29 2021 10:02:52 GMT-0500 (EST)","1/29/21","15:02:52","ployratana","research","https://www.inaturalist.org/observations/68763051","https://inaturalist-open-data.s3.amazonaws.com/photos/111424844/medium.jpg","",39.49571167,-74.52866333,"Atlantic","New Jersey","Branta canadensis","Canada Goose","Aves",7089,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis",2021-01-29,15:02:52,1
"27",68765916,"Fri Jan 29 2021 12:03:01 GMT-0500 (EST)","1/29/21","17:03:01","caitcorn","research","https://www.inaturalist.org/observations/68765916","https://inaturalist-open-data.s3.amazonaws.com/photos/111430353/medium.jpg","",39.48175,-74.68055833,"Atlantic","New Jersey","Dryobates pubescens","Downy Woodpecker","Aves",792988,"Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates pubescens",2021-01-29,17:03:01,1
"28",68765950,"Fri Jan 29 2021 12:05:56 GMT-0500 (EST)","1/29/21","17:05:56","caitcorn","research","https://www.inaturalist.org/observations/68765950","https://inaturalist-open-data.s3.amazonaws.com/photos/111430453/medium.jpg","",39.48188833,-74.68061167,"Atlantic","New Jersey","Poecile carolinensis","Carolina Chickadee","Aves",144814,"Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile carolinensis",2021-01-29,17:05:56,1
"29",68768954,"Thu Jan 28 2021 09:49:58 GMT-0500 (EST)","1/28/21","14:49:58","sarahrecalde","research","https://www.inaturalist.org/observations/68768954","https://inaturalist-open-data.s3.amazonaws.com/photos/111436050/medium.jpg","",39.913455,-74.99371333,"Camden","New Jersey","Vinca major","greater periwinkle","Plantae",53326,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Vinca","Vinca major",2021-01-28,14:49:58,1
"30",68792064,"Thu Jan 28 2021 13:04:58 GMT-0500 (EST)","1/28/21","18:04:58","nashwa_h","research","https://www.inaturalist.org/observations/68792064","https://inaturalist-open-data.s3.amazonaws.com/photos/111477625/medium.jpg","",39.49459667,-74.52925833,"Atlantic","New Jersey","Clethra alnifolia","Sweet Pepperbush","Plantae",52867,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Clethraceae","Clethra","Clethra alnifolia",2021-01-28,18:04:58,1
"31",68802165,"Sat Jan 30 2021 07:20:25 GMT-0500 (EST)","1/30/21","12:20:25","melissalaurino","research","https://www.inaturalist.org/observations/68802165","https://inaturalist-open-data.s3.amazonaws.com/photos/111497477/medium.jpg","3 females together",39.48769667,-74.53128833,"Atlantic","New Jersey","Odocoileus virginianus","White-tailed Deer","Mammalia",42223,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus",2021-01-30,12:20:25,1
"32",68808888,"2021-01-30 11:00:38 AM EST","1/30/21","16:00:38","james_tartaglio","research","https://www.inaturalist.org/observations/68808888","https://static.inaturalist.org/photos/111509694/medium.jpeg","Yellow eyebrows. Sex unknown.",39.36558517,-74.6389536,"Atlantic","New Jersey","Zonotrichia albicollis","White-throated Sparrow","Aves",9184,"Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia albicollis",2021-01-30,16:00:38,1
"33",68815089,"Thu Jan 28 2021 11:47:31 GMT-0500 (EST)","1/28/21","16:47:31","nashwa_h","research","https://www.inaturalist.org/observations/68815089","https://inaturalist-open-data.s3.amazonaws.com/photos/111520889/medium.jpg","",39.49397167,-74.528795,"Atlantic","New Jersey","Lonicera japonica","Japanese honeysuckle","Plantae",77835,"Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","Lonicera japonica",2021-01-28,16:47:31,1
"34",68815295,"Thu Jan 28 2021 13:02:54 GMT-0500 (EST)","1/28/21","18:02:54","nashwa_h","research","https://www.inaturalist.org/observations/68815295","https://inaturalist-open-data.s3.amazonaws.com/photos/111521218/medium.jpg","",39.49443,-74.52918333,"Atlantic","New Jersey","Phragmites australis","common reed","Plantae",64237,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phragmites","Phragmites australis",2021-01-28,18:02:54,1
"35",68827597,"Sat Jan 30 2021 10:22:50 GMT-0500 (EST)","1/30/21","15:22:50","tombaxter","research","https://www.inaturalist.org/observations/68827597","https://inaturalist-open-data.s3.amazonaws.com/photos/111544099/medium.jpg","",39.37922167,-74.41002,"Atlantic","New Jersey","Calamagrostis breviligulata","American marram grass","Plantae",1510826,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","Calamagrostis breviligulata",2021-01-30,15:22:50,1
"36",68865330,"Sun Jan 31 2021 11:12:15 GMT-0500 (EST)","1/31/21","16:12:15","melissalaurino","research","https://www.inaturalist.org/observations/68865330","https://inaturalist-open-data.s3.amazonaws.com/photos/111613814/medium.jpg","",39.49094667,-74.52993833,"Atlantic","New Jersey","Cyanocitta cristata","Blue Jay","Aves",8229,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata",2021-01-31,16:12:15,1
"37",68871237,"Fri Jan 29 2021 10:39:37 GMT-0500 (EST)","1/29/21","15:39:37","biancagamadia","research","https://www.inaturalist.org/observations/68871237","https://inaturalist-open-data.s3.amazonaws.com/photos/111624624/medium.jpg","",39.49074167,-74.53234167,"Atlantic","New Jersey","Accipiter cooperii","Cooper's Hawk","Aves",5112,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii",2021-01-29,15:39:37,1
"38",68871253,"Fri Jan 29 2021 10:05:55 GMT-0500 (EST)","1/29/21","20:05:55","biancagamadia","research","https://www.inaturalist.org/observations/68871253","https://inaturalist-open-data.s3.amazonaws.com/photos/111624657/medium.jpg","",39.49691333,-74.52887,"Atlantic","New Jersey","Leucobryum glaucum","Pincushion Moss","Plantae",122658,"Plantae","Bryophyta","Bryopsida","Dicranales","Leucobryaceae","Leucobryum","Leucobryum glaucum",2021-01-29,20:05:55,1
"39",68925313,"Wed Jan 27 2021 17:04:46 GMT-0500 (EST)","1/27/21","22:04:46","danweiss15","research","https://www.inaturalist.org/observations/68925313","https://inaturalist-open-data.s3.amazonaws.com/photos/111727503/medium.jpg","",39.535345,-74.26425333,"Ocean","New Jersey","Xanthium strumarium","rough cocklebur","Plantae",57920,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Xanthium","Xanthium strumarium",2021-01-27,22:04:46,1
"40",68933472,"Fri Jan 29 2021 10:03:00 GMT-0500 (EST)","1/29/21","15:03:00","biancagamadia","research","https://www.inaturalist.org/observations/68933472","https://inaturalist-open-data.s3.amazonaws.com/photos/111741410/medium.jpg","",39.49582167,-74.52867167,"Atlantic","New Jersey","Branta canadensis","Canada Goose","Aves",7089,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta canadensis",2021-01-29,15:03:00,1
"41",68935355,"Sun Jan 31 2021 12:25:47 GMT-0500 (EST)","1/31/21","17:25:47","savannahb21","research","https://www.inaturalist.org/observations/68935355","https://inaturalist-open-data.s3.amazonaws.com/photos/111744796/medium.jpg","Found on the beach wasn’t sure what it was ",39.34739799,-74.44219934,"Atlantic","New Jersey","Busycon carica","Knobbed Whelk","Mollusca",208724,"Animalia","Mollusca","Gastropoda","Neogastropoda","Busyconidae","Busycon","Busycon carica",2021-01-31,17:25:47,1
"42",69011618,"2021-02-02 12:47:47 PM EST","2/2/21","17:47:47","aminamajid","research","https://www.inaturalist.org/observations/69011618","https://inaturalist-open-data.s3.amazonaws.com/photos/111886108/medium.jpeg","",39.42983406,-74.61176489,"Atlantic","New Jersey","Cardinalis cardinalis","Northern Cardinal","Aves",9083,"Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis",2021-02-02,17:47:47,2
"43",69011768,"2021-02-02 12:49:00 PM EST","2/2/21","17:49:00","aminamajid","research","https://www.inaturalist.org/observations/69011768","https://inaturalist-open-data.s3.amazonaws.com/photos/111886356/medium.jpeg","",39.43005937,-74.61164989,"Atlantic","New Jersey","Cyanocitta cristata","Blue Jay","Aves",8229,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata",2021-02-02,17:49:00,2
"44",69020833,"Wed Feb 03 2021 16:34:24 GMT-0500 (EST)","2/3/21","21:34:24","melissalaurino","research","https://www.inaturalist.org/observations/69020833","https://inaturalist-open-data.s3.amazonaws.com/photos/111903519/medium.jpg","Underneath the Ocean City bridge in the salt marsh area at the Ocean City Rookery.",39.28857833,-74.58301667,"Cape May","New Jersey","Verbascum thapsus","great mullein","Plantae",59029,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Verbascum","Verbascum thapsus",2021-02-03,21:34:24,2
"45",69021364,"2021/01/30 12:14 PM EST","1/30/21","17:14:00","brendadelgado","research","https://www.inaturalist.org/observations/69021364","https://inaturalist-open-data.s3.amazonaws.com/photos/111904334/medium.jpeg","",39.492,-74.53068611,"Atlantic","New Jersey","Magnolia virginiana","sweetbay magnolia","Plantae",127906,"Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia","Magnolia virginiana",2021-01-30,17:14:00,1
"46",69021638,"Wed Feb 03 2021 16:48:08 GMT-0500 (EST)","2/3/21","21:48:08","melissalaurino","research","https://www.inaturalist.org/observations/69021638","https://inaturalist-open-data.s3.amazonaws.com/photos/111905049/medium.jpg","",39.28323,-74.55647167,"Cape May","New Jersey","Spisula solidissima","West Atlantic Surfclam","Mollusca",231421,"Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula","Spisula solidissima",2021-02-03,21:48:08,2
"47",69021661,"Wed Feb 03 2021 16:49:53 GMT-0500 (EST)","2/3/21","21:49:53","melissalaurino","research","https://www.inaturalist.org/observations/69021661","https://inaturalist-open-data.s3.amazonaws.com/photos/111905076/medium.jpg","",39.28355,-74.55638833,"Cape May","New Jersey","Argopecten irradians","Atlantic Bay Scallop","Mollusca",122039,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Argopecten","Argopecten irradians",2021-02-03,21:49:53,2
"48",69022155,"Wed Feb 03 2021 16:54:28 GMT-0500 (EST)","2/3/21","21:54:28","melissalaurino","research","https://www.inaturalist.org/observations/69022155","https://inaturalist-open-data.s3.amazonaws.com/photos/111905954/medium.jpg","",39.28286167,-74.55728833,"Cape May","New Jersey","Crassostrea virginica","Eastern Oyster","Mollusca",47585,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",2021-02-03,21:54:28,2
"49",69022263,"Wed Feb 03 2021 16:58:54 GMT-0500 (EST)","2/3/21","21:58:54","melissalaurino","research","https://www.inaturalist.org/observations/69022263","https://inaturalist-open-data.s3.amazonaws.com/photos/111906235/medium.jpg","Growing in the dunes along ocean beach front. Thorns present.",39.28913833,-74.55362833,"Cape May","New Jersey","Rosa rugosa","rugosa rose","Plantae",83653,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","Rosa rugosa",2021-02-03,21:58:54,2
"50",69022278,"Wed Feb 03 2021 17:06:12 GMT-0500 (EST)","2/3/21","22:06:12","melissalaurino","research","https://www.inaturalist.org/observations/69022278","https://inaturalist-open-data.s3.amazonaws.com/photos/111906289/medium.jpg","",39.28897833,-74.55265,"Cape May","New Jersey","Anomia simplex","Common Jingle","Mollusca",55024,"Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia","Anomia simplex",2021-02-03,22:06:12,2
"51",69022315,"Wed Feb 03 2021 17:06:00 GMT-0500 (EST)","2/3/21","22:06:00","melissalaurino","research","https://www.inaturalist.org/observations/69022315","https://inaturalist-open-data.s3.amazonaws.com/photos/111906420/medium.jpg","",39.288975,-74.55264167,"Cape May","New Jersey","Ilyanassa trivittata","Threeline Mudsnail","Mollusca",70008,"Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Ilyanassa","Ilyanassa trivittata",2021-02-03,22:06:00,2
"52",69022323,"Wed Feb 03 2021 17:06:28 GMT-0500 (EST)","2/3/21","22:06:28","melissalaurino","research","https://www.inaturalist.org/observations/69022323","https://inaturalist-open-data.s3.amazonaws.com/photos/111906468/medium.jpg","",39.28897167,-74.55264167,"Cape May","New Jersey","Neverita duplicata","Shark Eye","Mollusca",59360,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita duplicata",2021-02-03,22:06:28,2
"53",69058003,"Thu Feb 04 2021 11:48:23 GMT-0500 (EST)","2/4/21","16:48:23","nashwa_h","research","https://www.inaturalist.org/observations/69058003","https://inaturalist-open-data.s3.amazonaws.com/photos/111970769/medium.jpg","",39.49608833,-74.52867167,"Atlantic","New Jersey","Chamaecyparis thyoides","Atlantic white cedar","Plantae",69756,"Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Chamaecyparis","Chamaecyparis thyoides",2021-02-04,16:48:23,2
"54",69058152,"Thu Feb 04 2021 11:41:43 GMT-0500 (EST)","2/4/21","16:41:43","nashwa_h","research","https://www.inaturalist.org/observations/69058152","https://inaturalist-open-data.s3.amazonaws.com/photos/111970680/medium.jpg","",39.49677,-74.528755,"Atlantic","New Jersey","Kalmia latifolia","mountain laurel","Plantae",49397,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Kalmia","Kalmia latifolia",2021-02-04,16:41:43,2
"55",69058186,"Thu Feb 04 2021 11:19:30 GMT-0500 (EST)","2/4/21","16:19:30","nashwa_h","research","https://www.inaturalist.org/observations/69058186","https://inaturalist-open-data.s3.amazonaws.com/photos/111970752/medium.jpg","",39.49169167,-74.52903,"Atlantic","New Jersey","Pinus rigida","pitch pine","Plantae",53464,"Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus rigida",2021-02-04,16:19:30,2
"56",69058220,"Thu Feb 04 2021 11:33:47 GMT-0500 (EST)","2/4/21","16:33:47","nashwa_h","research","https://www.inaturalist.org/observations/69058220","https://inaturalist-open-data.s3.amazonaws.com/photos/111970828/medium.jpg","",39.49400833,-74.52903,"Atlantic","New Jersey","Juniperus virginiana","eastern redcedar","Plantae",49399,"Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus virginiana",2021-02-04,16:33:47,2
"57",69058297,"Thu Feb 04 2021 11:45:23 GMT-0500 (EST)","2/4/21","16:45:23","nashwa_h","research","https://www.inaturalist.org/observations/69058297","https://inaturalist-open-data.s3.amazonaws.com/photos/111970940/medium.jpg","",39.49703333,-74.52988333,"Atlantic","New Jersey","Ilex glabra","gallberry","Plantae",129347,"Plantae","Tracheophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae","Ilex","Ilex glabra",2021-02-04,16:45:23,2
"58",69059332,"Thu Feb 04 2021 13:12:13 GMT-0500 (EST)","2/4/21","18:12:13","melissalaurino","research","https://www.inaturalist.org/observations/69059332","https://inaturalist-open-data.s3.amazonaws.com/photos/111972807/medium.jpg","",38.94700235,-74.85726234,"Cape May","New Jersey","Callinectes sapidus","Atlantic Blue Crab","Animalia",49504,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus",2021-02-04,18:12:13,2
"59",69059476,"Thu Feb 04 2021 13:16:26 GMT-0500 (EST)","2/4/21","18:16:26","melissalaurino","research","https://www.inaturalist.org/observations/69059476","https://inaturalist-open-data.s3.amazonaws.com/photos/111973118/medium.jpg","Flat-clawed hermit crab",38.94756333,-74.85788,"Cape May","New Jersey","Pagurus pollicaris","Flat-clawed Hermit Crab","Animalia",48172,"Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus pollicaris",2021-02-04,18:16:26,2
